ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
29.3082882,-61.5938535,82824a223-000142,12.590,0.028,10,57906.87318108,0.175894,277.644478
29.3082920,-61.5938747,82778a241-000174,12.601,0.029,10,57905.36727968,0.175974,252.499236
29.3083088,-61.5938294,22461r013-000162,12.796,0.028,10,59164.26577954,0.177418,308.384966
29.3084234,-61.5939071,33641r012-000159,12.612,0.027,10,59529.65979646,0.178956,161.358410
29.3084945,-61.5938560,65909a023-000143,12.631,0.026,10,57352.76058884,0.179535,85.399793
29.3082943,-61.5938811,39880r215-000138,12.691,0.029,10,59733.40917513,0.180637,245.133699
29.3082850,-61.5938520,06330r239-000160,12.713,0.028,10,58636.77404122,0.182121,279.099098
29.3083037,-61.5938896,06364r216-000172,12.730,0.028,10,58637.88620947,0.182199,234.208619
29.3084696,-61.5938940,39862r239-000159,12.674,0.025,10,59732.82189237,0.183207,131.919922
29.3083735,-61.5939105,33713r013-000456,12.641,0.026,10,59532.01172846,0.183979,188.834931
29.3083094,-61.5938257,56109r012-000531,12.679,0.029,10,60260.98655975,0.185207,311.814464
29.3083046,-61.5938917,82788a217-000186,12.616,0.028,10,57905.69466868,0.185513,232.035687
29.3082939,-61.5938345,51068r215-000134,12.644,0.027,10,60097.70849051,0.188444,299.152067
29.3084049,-61.5939120,28710r240-000145,12.687,0.029,10,59368.55372032,0.188919,172.237772
29.3084064,-61.5938076,54965a027-000126,12.527,0.029,10,56993.60336745,0.190711,8.468514
29.3082808,-61.5938708,99105a016-000198,12.727,0.027,10,58439.65678938,0.191008,258.255548
29.3082861,-61.5938799,33719r038-000534,12.678,0.028,10,59532.20782883,0.191822,248.069604
29.3082786,-61.5938533,06362r240-000175,12.701,0.028,10,58637.82075784,0.192290,277.205452
29.3083052,-61.5938246,22479r037-000287,12.733,0.029,10,59164.85433521,0.193221,311.267570
29.3084572,-61.5938168,76882a043-000137,12.552,0.024,10,57712.31935991,0.193465,36.501731
29.3083489,-61.5938098,56097r010-000135,12.651,0.035,10,60260.59868839,0.193953,338.719916
29.3083025,-61.5938254,65934a047-000138,12.602,0.025,10,57353.61311890,0.194852,309.734115
29.3085051,-61.5938586,76889a019-000151,12.552,0.028,10,57712.51584269,0.197189,88.535411
29.3084564,-61.5939051,51042r239-000137,12.622,0.029,10,60096.86462218,0.198216,144.992934
29.3084283,-61.5938079,76897a020-000151,12.530,0.026,10,57712.77790458,0.198692,19.275398
29.3085017,-61.5938447,39856r215-000156,12.689,0.026,10,59732.62617400,0.199072,73.937309
29.3084142,-61.5939144,22485r012-000176,12.765,0.030,10,59165.05043556,0.200185,168.051111
29.3083804,-61.5939155,93918a241-000164,12.710,0.025,10,58269.96993829,0.200468,184.704059
29.3084146,-61.5938053,22487r037-000148,12.685,0.026,10,59165.11588720,0.201384,12.075995
29.3083549,-61.5939135,49484a227-000137,12.632,0.031,10,56813.38088731,0.201759,197.333473
29.3083185,-61.5939051,39854r239-000161,12.706,0.030,10,59732.56084970,0.203368,217.023102
29.3083366,-61.5938095,28748r215-000171,12.678,0.026,10,59369.79551892,0.203508,333.295872
29.3083526,-61.5938059,93944a215-000178,12.648,0.028,10,58270.82055502,0.205011,341.795481
29.3085107,-61.5938516,98891a037-000176,12.692,0.027,10,58432.65561522,0.208913,81.677152
29.3084801,-61.5938994,11311r038-000146,12.705,0.028,10,58799.66544802,0.209591,132.590028
29.3082880,-61.5938925,82810a242-000170,12.600,0.026,10,57906.41489193,0.210243,236.186496
29.3084891,-61.5938253,11365r014-000163,12.682,0.025,10,58801.43162488,0.210737,53.645228
29.3085135,-61.5938597,60496a225-000182,12.582,0.024,10,57175.24556564,0.211497,89.707489
29.3085147,-61.5938581,71684a219-000149,12.594,0.027,10,57542.04782895,0.213675,88.165582
29.3082741,-61.5938369,49500a225-000134,12.518,0.033,10,56813.90717447,0.215195,292.731956
29.3085122,-61.5938444,71704a220-000152,12.639,0.029,10,57542.70311006,0.216682,74.978575
29.3082958,-61.5938190,39892r215-000168,12.727,0.027,10,59733.80061172,0.218657,312.455946
29.3085187,-61.5938541,28620r216-000157,12.726,0.027,10,59365.61208789,0.221426,84.495693
29.3084366,-61.5939176,28710r239-000148,12.701,0.032,10,59368.55359296,0.222193,158.949847
29.3083283,-61.5938052,49504a225-000149,12.568,0.030,10,56814.03884164,0.223803,331.825678
29.3082846,-61.5938229,98929a013-000271,12.684,0.027,10,58433.89894343,0.224540,306.498323
29.3082566,-61.5938641,65917a023-000156,12.660,0.028,10,57353.02290580,0.228936,266.303383
29.3082684,-61.5938865,49465b251-000146,12.628,0.027,10,56812.78863981,0.229059,245.387322
29.3082588,-61.5938744,51046r240-000156,12.642,0.028,10,60096.99450684,0.230601,257.008191
29.3082689,-61.5938893,93946a240-000169,12.640,0.032,10,58270.88600672,0.232681,243.042201
29.3084932,-61.5939037,39874r239-000615,12.737,0.029,10,59733.21332954,0.236606,131.673192
29.3084702,-61.5938060,93930a241-000154,12.615,0.029,10,58270.36252083,0.238019,35.242412
29.3085120,-61.5938928,39858r239-000182,12.682,0.026,10,59732.69137104,0.239996,119.473044
29.3082667,-61.5938922,17461s243-000153,12.721,0.025,10,59000.83870520,0.240880,241.234793
29.3084382,-61.5939231,22477r013-000173,12.690,0.030,10,59164.78888352,0.241702,160.029625
29.3085290,-61.5938734,65914a047-000374,12.606,0.027,10,57352.95732657,0.242891,101.455745
29.3082651,-61.5938275,28744r215-000167,12.633,0.032,10,59369.66474296,0.243803,298.677680
29.3084594,-61.5939201,56093r010-000134,12.554,0.038,10,60260.46943984,0.246865,151.218647
29.3082795,-61.5938147,44889r014-000146,12.518,0.032,10,59896.71370730,0.249813,310.753351
29.3083809,-61.5937902,33711r038-001391,12.653,0.026,10,59531.94640405,0.251771,356.451019
29.3085304,-61.5938388,33637r012-000171,12.642,0.025,10,59529.52914771,0.252278,72.390180
29.3082646,-61.5938227,28712r215-000147,12.719,0.028,10,59368.61904463,0.253287,302.016061
29.3085244,-61.5938294,17504r215-000168,12.590,0.036,10,59002.21191696,0.255182,64.424322
29.3083327,-61.5937938,39864r215-000156,12.638,0.030,10,59732.88721672,0.257742,337.619933
29.3085021,-61.5939088,33703r037-000136,12.634,0.028,10,59531.68497928,0.260222,132.461417
29.3084296,-61.5937899,87917a015-000153,12.665,0.026,10,58073.56342284,0.261309,15.042130
29.3082384,-61.5938460,98911a037-000163,12.754,0.030,10,58433.31000485,0.264471,280.985769
29.3082358,-61.5938534,93952a216-000170,12.757,0.031,10,58271.08236168,0.265149,275.141130
29.3082596,-61.5938196,87911a038-000161,12.642,0.027,10,58073.36694022,0.266500,303.074475
29.3082401,-61.5938398,54997a026-000130,12.484,0.024,10,56994.65505397,0.266818,285.815734
29.3085477,-61.5938393,98913a013-000166,12.712,0.030,10,58433.37545656,0.280169,74.574644
29.3083208,-61.5937890,06380r215-000194,12.645,0.040,10,58638.40944051,0.281732,335.124770
29.3085508,-61.5938421,51040r215-000138,12.632,0.026,10,60096.79980716,0.282820,76.829800
29.3085490,-61.5938847,54866a048-000128,12.578,0.028,10,56990.38260323,0.286454,108.084531
29.3084998,-61.5939211,51058r239-000142,12.503,0.033,10,60097.38390620,0.289374,139.473216
29.3083791,-61.5937795,54954a050-000140,12.517,0.030,10,56993.27470764,0.290401,356.314429
29.3082342,-61.5938277,39874r240-000599,12.685,0.029,10,59733.21345685,0.291051,293.547388
29.3082025,-61.5938676,49473b251-000143,12.609,0.026,10,56813.05184682,0.322272,265.129824
29.3084459,-61.5939457,82794a242-000156,12.664,0.027,10,57905.89115112,0.323034,162.760959
29.3082511,-61.5939213,28652r216-000167,12.663,0.030,10,59366.65778671,0.324478,227.147787
29.3084635,-61.5939432,06368r215-000166,12.778,0.030,10,58638.01698543,0.324900,157.205182
29.3085799,-61.5938730,98917a012-000184,12.713,0.029,10,58433.50623262,0.328572,98.188876
29.3085602,-61.5938162,44851r037-000145,12.597,0.033,10,59895.47547242,0.331392,61.588511
29.3082509,-61.5939243,82808a217-000167,12.686,0.028,10,57906.34944021,0.332161,225.822117
29.3081963,-61.5938409,49489b251-000154,12.677,0.032,10,56813.57826067,0.338778,281.710251
29.3085579,-61.5939173,98925a013-000189,12.738,0.027,10,58433.76804001,0.353876,125.655290
